index,StationName,YearMonth,AirTemperature_Mean,AirTemperature_Maximum,AirTemperature_MaximumDate,AirTemperature_Minimum,AirTemperature_MinimumDate,Precipitation_Accumulation,Precipitation_GE01Days,WindSpeed_Maximum,WindSpeed_MaximumDate,WindDirection_Maximum,PeakGustSpeed_Maximum,PeakGustSpeed_MaximumDate,PeakGustDirection_Maximum,RelativeHumidity_Mean,RelativeHumidity_Minimum,RelativeHumidity_MinimumDate,AirPressure_Mean,SunshineDuration_Total,Month
60,臺南,2020-01,19.0,29.4,2020-01-23,9.2,2020-01-31,27.5,2,9.2,2020-01-30,360.0,18.8,2020-01-26,360.0,75,40,2020-01-31,1015.7,244.5,1
61,臺南,2020-02,20.0,30.3,2020-02-29,11.1,2020-02-17,1.5,1,9.7,2020-02-17,360.0,15.3,2020-02-17,10.0,70,31,2020-02-18,1017.5,226.4,2
62,臺南,2020-03,23.3,31.7,2020-03-26,15.5,2020-03-05,29.5,3,8.8,2020-03-28,360.0,16.2,2020-03-10,20.0,72,46,2020-03-03,1012.4,230.2,3
63,臺南,2020-04,23.4,32.0,2020-04-18,15.6,2020-04-13,23.0,3,9.5,2020-04-12,360.0,17.4,2020-04-12,360.0,69,32,2020-04-16,1012.8,203.8,4
64,臺南,2020-05,28.1,34.7,2020-05-16,23.0,2020-05-19,470.5,10,9.2,2020-05-16,190.0,17.0,2020-05-16,200.0,76,37,2020-05-01,1006.8,222.0,5
65,臺南,2020-06,30.1,35.9,2020-06-13,24.2,2020-06-08,58.5,10,8.3,2020-06-14,190.0,17.9,2020-06-08,200.0,71,45,2020-06-13,1006.5,271.8,6
66,臺南,2020-07,30.2,35.2,2020-07-23,24.7,2020-07-29,141.0,14,9.4,2020-07-29,220.0,14.5,2020-07-29,220.0,72,41,2020-07-13,1006.0,232.9,7
67,臺南,2020-08,28.8,35.0,2020-08-06,23.9,2020-08-16,663.5,19,9.7,2020-08-11,160.0,18.1,2020-08-11,150.0,79,48,2020-08-19,1004.8,177.7,8
68,臺南,2020-09,29.3,34.4,2020-09-14,24.1,2020-09-28,56.3,3,8.6,2020-09-18,190.0,13.4,2020-09-18,180.0,70,34,2020-09-06,1006.6,239.1,9
69,臺南,2020-10,26.8,32.7,2020-10-05,20.2,2020-10-23,1.0,2,9.4,2020-10-22,360.0,16.9,2020-10-22,360.0,70,45,2020-10-15,1009.1,225.6,10
70,臺南,2020-11,24.2,32.0,2020-11-20,18.9,2020-11-11,52.0,3,7.5,2020-11-13,360.0,12.8,2020-11-06,360.0,76,43,2020-11-04,1013.1,168.6,11
71,臺南,2020-12,20.1,29.4,2020-12-13,10.2,2020-12-31,6.0,3,12.6,2020-12-30,360.0,21.0,2020-12-30,360.0,76,40,2020-12-27,1014.2,153.3,12
