iter	RMSE
0	41.79130607
1	40.61307001
2	39.48784485
3	38.36525623
4	37.01048778
5	35.93605975
6	35.50920702
7	34.82750551
8	34.06707404
9	33.15940254
10	32.23752259
11	31.43535733
12	30.75688846
13	30.04976902
14	29.477312
15	28.41585666
16	27.81776199
17	27.28289555
18	26.75825584
19	25.942517
20	25.28674006
21	24.66596268
22	24.19829249
23	23.71685321
24	22.98371173
25	22.61346172
26	22.29446596
27	21.59175796
28	21.03479749
29	20.63200156
30	20.46580138
31	20.0623831
32	19.5934053
33	19.30290022
34	18.8914106
35	18.62716112
36	18.33209984
37	17.94177862
38	17.69906879
39	17.45115143
40	16.98603519
41	16.70615415
42	16.30215455
43	15.82317542
44	15.53213143
45	15.19042625
46	14.87644849
47	14.56288432
48	14.27305416
49	13.99126951
50	13.7535215
51	13.56472208
52	13.46313667
53	13.38168916
54	13.04219813
55	12.86584974
56	12.56197271
57	12.48556009
58	12.22416265
59	11.91915334
60	11.64142522
61	11.38237173
62	11.24622389
63	11.13629978
64	11.06264188
65	10.8817165
66	10.76269975
67	10.60834679
68	10.50634888
69	10.42384171
70	10.30889567
71	10.24690475
72	10.16532918
73	10.07056156
74	10.00570892
75	9.720638915
76	9.621392538
77	9.514387395
78	9.41303135
79	9.309163723
80	9.070678425
81	8.806542039
82	8.565790962
83	8.335984163
84	8.129862551
85	7.934266417
86	7.767569313
87	7.551469619
88	7.376792416
89	7.229150233
90	7.032862244
91	6.850747903
92	6.692611506
93	6.545552445
94	6.392331334
95	6.236112315
96	6.103304387
97	5.982986548
98	5.853566903
99	5.765443384
