iter	Passed	Remaining
0	134	13340
1	135	6652
2	136	4413
3	137	3293
4	137	2621
5	138	2174
6	139	1854
7	140	1614
8	141	1427
9	142	1279
10	142	1156
11	143	1054
12	144	966
13	145	892
14	146	827
15	146	770
16	147	720
17	148	676
18	149	637
19	150	601
20	151	569
21	152	539
22	152	511
23	153	486
24	154	463
25	155	441
26	155	421
27	156	402
28	157	385
29	158	368
30	158	353
31	159	338
32	160	325
33	160	312
34	161	300
35	162	288
36	163	277
37	163	267
38	164	257
39	165	247
40	165	238
41	166	230
42	167	221
43	168	214
44	168	206
45	169	199
46	170	192
47	171	185
48	172	179
49	172	172
50	173	166
51	174	160
52	175	155
53	175	149
54	176	144
55	177	139
56	178	134
57	178	129
58	179	124
59	180	120
60	180	115
61	181	111
62	182	107
63	183	102
64	183	98
65	184	95
66	185	91
67	186	87
68	186	84
69	187	80
70	188	76
71	189	73
72	189	70
73	190	66
74	191	63
75	192	60
76	192	57
77	193	54
78	194	51
79	194	48
80	195	45
81	196	43
82	196	40
83	197	37
84	198	35
85	199	32
86	200	29
87	200	27
88	201	24
89	202	22
90	202	20
91	203	17
92	204	15
93	205	13
94	206	10
95	206	8
96	207	6
97	208	4
98	209	2
99	209	0
