index,StationName,YearMonth,AirTemperature_Mean,AirTemperature_Maximum,AirTemperature_MaximumDate,AirTemperature_Minimum,AirTemperature_MinimumDate,Precipitation_Accumulation,Precipitation_GE01Days,WindSpeed_Maximum,WindSpeed_MaximumDate,WindDirection_Maximum,PeakGustSpeed_Maximum,PeakGustSpeed_MaximumDate,PeakGustDirection_Maximum,RelativeHumidity_Mean,RelativeHumidity_Minimum,RelativeHumidity_MinimumDate,AirPressure_Mean,SunshineDuration_Total,Month
0,臺南,2015-01,17.8,27.8,2015-01-05,10.6,2015-01-02,13.5,1,9.5,2015-01-14,20.0,15.6,2015-01-14,30.0,70,33,2015-01-22,1016.8,195.2,1
1,臺南,2015-02,18.9,29.2,2015-02-26,10.5,2015-02-10,22.0,3,9.9,2015-02-05,30.0,17.2,2015-02-05,20.0,73,37,2015-02-12,1015.8,186.6,2
2,臺南,2015-03,21.8,29.4,2015-03-30,14.5,2015-03-02,5.1,2,9.3,2015-03-23,40.0,16.5,2015-03-23,20.0,75,42,2015-03-29,1014.5,189.6,3
3,臺南,2015-04,24.9,32.3,2015-04-05,16.8,2015-04-09,25.8,4,9.7,2015-04-18,200.0,15.3,2015-04-18,180.0,73,21,2015-04-14,1011.2,253.4,4
4,臺南,2015-05,27.7,33.1,2015-05-10,22.8,2015-05-21,300.0,14,8.1,2015-05-22,200.0,15.4,2015-05-25,250.0,80,53,2015-05-17,1007.3,189.3,5
5,臺南,2015-06,30.4,35.0,2015-06-22,26.2,2015-06-01,19.0,2,10.1,2015-06-23,190.0,16.6,2015-06-23,180.0,74,49,2015-06-08,1006.2,322.1,6
6,臺南,2015-07,29.1,34.1,2015-07-05,23.8,2015-07-27,225.0,15,11.2,2015-07-10,10.0,19.0,2015-07-10,10.0,79,54,2015-07-21,1002.9,200.2,7
7,臺南,2015-08,28.4,34.8,2015-08-04,23.4,2015-08-29,629.6,16,17.8,2015-08-08,320.0,34.4,2015-08-08,210.0,81,45,2015-08-04,1003.4,155.7,8
8,臺南,2015-09,28.4,33.7,2015-09-26,24.5,2015-09-29,192.0,5,12.8,2015-09-28,280.0,24.6,2015-09-29,200.0,76,48,2015-09-11,1007.0,206.4,9
9,臺南,2015-10,26.8,32.7,2015-10-02,21.1,2015-10-15,31.0,4,7.0,2015-10-30,10.0,11.3,2015-10-10,10.0,77,53,2015-10-30,1010.5,198.2,10
10,臺南,2015-11,25.1,31.9,2015-11-18,13.7,2015-11-27,4.5,1,8.9,2015-11-26,10.0,16.7,2015-11-25,20.0,75,39,2015-11-27,1013.9,206.2,11
11,臺南,2015-12,20.5,30.1,2015-12-24,12.1,2015-12-18,13.5,3,9.1,2015-12-16,10.0,15.8,2015-12-16,10.0,75,50,2015-12-18,1016.1,207.6,12
